cenario_id,linha,modo,Idade,TPC,Volume,DB_SGF,Kappa,pct_A,pct_B,pct_C,pct_D,pct_MG
QM-PART01,77,A,6.474377282089281,48.68748751086709,8569.45,485.2945080606106,15.56445312571971,0.355692605709818,0.0,0.4191645904929721,0.0,0.2251428037972098
QM-PART01,78,A,6.478761769828802,42.5113958549455,7586.39,489.09605898194,15.13308734512394,0.780609749828311,0.0,0.0,0.0,0.219390250171689
QM-PART01,79,A,8.3247255327213,89.48738939162222,9853.91,484.0001741998861,16.3567240037134,0.4007079423294915,0.3485053141341863,0.0,0.0,0.2507867435363221
QM-PART01,80,A,7.262189983310622,43.64000315153848,8313.4,491.7864971732384,17.25669019107855,0.2996607886063464,0.0,0.4319099285490894,0.0,0.2684292828445642
QM-PART01,81,A,6.487397651014679,45.91376472627624,10527.95,500.5556672381612,15.20430363018311,0.4756908989879321,0.113083743748783,0.2315417531428245,0.0,0.1796836041204603
QM-PART01,82,A,8.518242577276428,49.80194148499748,6581.56,506.5743725803609,16.91330757353995,0.0,0.0236706798995982,0.6131768152231386,0.0,0.3631525048772632
QM-PART01,83,A,6.556888575226583,56.79188527899358,7274.47999,469.9156861403839,15.66608687701186,0.435802752135964,0.010882281635089,0.332726347907653,0.0,0.2205886183212939
QM-PART01,84,A,6.007479768955456,64.61846770304018,9558.33,478.6419609910937,15.8656735516824,0.9140446082108484,0.0,0.0,0.0,0.0859553917891514
QM-PART01,85,A,5.914757219876802,100.7412008500556,9724.07,484.9259401361776,17.02699051820582,0.4857461947517861,0.2268803083482533,0.0,0.0,0.2873734968999606
QM-PART01,86,A,7.482038336868886,60.8288201971146,8398.28002,482.5958355352743,15.82759400058417,0.0161682737032624,0.6637625176494174,0.0025513057374812,0.2172944931169371,0.1002234097929019
QM-PART01,87,A,5.98888346794786,63.76667675655843,8067.48,476.9461459960235,17.18232780694349,0.6329894837049488,0.0,0.2597961197300768,0.0,0.1072143965649744
QM-PART01,88,A,7.114129015523607,45.15724338615787,7424.58,494.2422486928554,15.72277922436411,0.1535117137939116,0.0,0.4970462975683473,0.0,0.3494419886377411
QM-PART01,89,A,5.542623950023313,43.08706911423985,10004.74,483.0284382802552,16.88197417372577,0.5513626541019557,0.0,0.2856955802949402,0.0246952944304399,0.1382464711726642
QM-PART01,90,A,6.183776019751531,62.72343464922648,9518.25,481.4564387781367,15.89557322566477,0.950014971239461,0.0,0.0,0.0,0.0499850287605389
QM-PART01,91,A,7.447732922923073,45.95398241246166,8764.16,498.3609759976997,12.25821017923514,0.8584633324813787,0.0,0.0,0.0,0.1415366675186213
QM-PART01,92,A,6.215547761546217,79.34453210202287,9323.4,479.14020986979,11.3726997305305,0.907755754338546,0.0,0.0,0.0,0.0922442456614539
QM-PART01,93,A,5.979860706851367,75.16961331637928,8886.76444,477.6589272571626,14.11439962254882,0.5205897457095194,0.1338939349674041,0.2206202283448845,0.0,0.1248960909781918
QM-PART01,94,A,7.059539929455207,104.8875625529992,8585.04,495.9980228257527,16.38183190981267,0.5365717573826096,0.1421624127552114,0.0,0.0,0.3212658298621788
QM-PART01,95,A,6.814263104275941,55.10644648528795,6341.06,482.5149946854311,16.92631446597761,0.0,0.0,0.3205236979306299,0.6794763020693702,0.0
QM-PART01,96,A,6.215499657567753,59.80426408178879,7241.09,518.3770389540801,16.84751416244047,0.0,0.0,0.3994730075168241,0.3770040145889638,0.223522977894212
QM-PART01,97,A,8.469824513410064,41.94290358180292,9102.12,496.8316050436602,16.30352451326328,0.4518837369755618,0.0671535861975012,0.1207685682016937,0.0,0.3601941086252434
QM-PART01,98,A,7.492969126094419,98.88349707195056,5097.25,501.0557117661484,15.64428657825384,0.2785855117955761,0.1750375202314974,0.2117063122271813,0.0,0.3346706557457453
QM-PART01,99,A,7.20826886873885,36.4455155711796,9731.44,485.7844667079076,15.00572785034362,0.2309760939799249,0.552944887909703,0.0,0.0,0.2160790181103722
QM-PART01,100,A,6.334709803081732,47.1944409851322,8897.08,480.9143194059174,15.57519468556081,0.5992584083766809,0.0,0.1112218840338628,0.1520656215297603,0.137454086059696
